example_id                                                              | status | run_time        |
./spec/models/menu_item_spec.rb[1:5:1:1]                                | passed | 0.00698 seconds |
./spec/models/menu_item_spec.rb[1:5:1:2]                                | passed | 0.00687 seconds |
./spec/models/menu_item_spec.rb[1:5:1:3]                                | passed | 0.00721 seconds |
./spec/models/menu_item_spec.rb[1:6:1:1]                                | passed | 0.01788 seconds |
./spec/models/menu_item_spec.rb[1:6:2:1]                                | passed | 0.00689 seconds |
./spec/models/menu_item_spec.rb[1:6:2:2]                                | passed | 0.00783 seconds |
./spec/models/menu_item_spec.rb[1:6:2:3]                                | passed | 0.00909 seconds |
./spec/models/menu_item_spec.rb[1:6:2:4]                                | passed | 0.00986 seconds |
./spec/models/menu_item_spec.rb[1:6:3:1]                                | passed | 0.06154 seconds |
./spec/models/menu_item_spec.rb[1:6:3:2]                                | passed | 0.06986 seconds |
./spec/models/menu_item_spec.rb[1:6:3:3]                                | passed | 0.05718 seconds |
./spec/models/menu_spec.rb[1:1]                                         | passed | 0.00976 seconds |
./spec/models/menu_spec.rb[1:2]                                         | passed | 0.00407 seconds |
./spec/models/menu_spec.rb[1:3]                                         | passed | 0.0047 seconds  |
./spec/models/menu_spec.rb[1:4]                                         | passed | 0.01653 seconds |
./spec/models/menu_spec.rb[1:5]                                         | passed | 0.02567 seconds |
./spec/models/menu_spec.rb[1:6:1:1]                                     | passed | 0.01464 seconds |
./spec/models/menu_spec.rb[1:6:1:2]                                     | passed | 0.01268 seconds |
./spec/models/menu_spec.rb[1:6:1:3]                                     | passed | 0.01253 seconds |
./spec/models/menu_spec.rb[1:7:1:1]                                     | passed | 0.02457 seconds |
./spec/models/menu_spec.rb[1:7:2:1]                                     | passed | 0.02918 seconds |
./spec/models/menu_spec.rb[1:7:2:2]                                     | passed | 0.0289 seconds  |
./spec/models/menu_spec.rb[1:7:3:1]                                     | passed | 0.01654 seconds |
./spec/models/menu_spec.rb[1:7:3:2]                                     | passed | 0.01381 seconds |
./spec/models/menu_spec.rb[1:7:3:3]                                     | passed | 0.0139 seconds  |
./spec/models/menu_spec.rb[1:7:3:4]                                     | passed | 0.01392 seconds |
./spec/models/menu_spec.rb[1:7:3:5]                                     | passed | 0.01464 seconds |
./spec/models/restaurant_spec.rb[1:1]                                   | passed | 0.01215 seconds |
./spec/models/restaurant_spec.rb[1:2]                                   | passed | 0.01118 seconds |
./spec/models/restaurant_spec.rb[1:3]                                   | passed | 0.00472 seconds |
./spec/models/restaurant_spec.rb[1:4]                                   | passed | 0.00416 seconds |
./spec/models/restaurant_spec.rb[1:5]                                   | passed | 0.00409 seconds |
./spec/models/restaurant_spec.rb[1:6:1:1]                               | passed | 0.00718 seconds |
./spec/models/restaurant_spec.rb[1:6:1:2]                               | passed | 0.00717 seconds |
./spec/models/restaurant_spec.rb[1:6:1:3]                               | passed | 0.00834 seconds |
./spec/models/restaurant_spec.rb[1:7:1:1]                               | passed | 0.02091 seconds |
./spec/models/restaurant_spec.rb[1:7:2:1]                               | passed | 0.02937 seconds |
./spec/models/restaurant_spec.rb[1:7:2:2]                               | passed | 0.02836 seconds |
./spec/models/restaurant_spec.rb[1:7:2:3]                               | passed | 0.02745 seconds |
./spec/models/restaurant_spec.rb[1:7:3:1]                               | passed | 0.00993 seconds |
./spec/models/restaurant_spec.rb[1:7:3:2]                               | passed | 0.01086 seconds |
./spec/models/restaurant_spec.rb[1:7:3:3]                               | passed | 0.01041 seconds |
./spec/models/restaurant_spec.rb[1:7:3:4]                               | passed | 0.00903 seconds |
./spec/models/restaurant_spec.rb[1:7:3:5]                               | passed | 0.01347 seconds |
./spec/repositories/persistence/menu_items_repository_spec.rb[1:1:1]    | passed | 0.05507 seconds |
./spec/repositories/persistence/menu_items_repository_spec.rb[1:2:1]    | passed | 0.05182 seconds |
./spec/repositories/persistence/menu_items_repository_spec.rb[1:3:1]    | passed | 0.03434 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:1:1]         | passed | 0.04262 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:2:1]         | passed | 0.03364 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:3:1]         | passed | 0.02924 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:1:1]       | failed | 0.01173 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:1:2]       | failed | 0.02058 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:1:3]       | failed | 0.01419 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:2:1]       | passed | 0.01873 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:2:2]       | passed | 0.055 seconds   |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:3:1]       | passed | 0.01061 seconds |
